nl,act1,act2,act3,slot1,slot2,slot3
"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type . How may I help you?",welcomemsg,,,,,
What kind of $food$ would you like?,request,,,food,,
There are restaurants in the $pricerange$ price range and the $area$ of town . What type of $food$ would you like?,request,inform,inform,food,pricerange,area
$name$ is a nice restaurant in the $area$ of town serving $food$ food,offer,inform,inform,name,food,pricerange
"Sure , $name$ is on $addr$",offer,inform,,name,addr,
The phone number of $name$ is $phone$ .,offer,inform,,name,phone,
$name$ serves $food$ food,offer,inform,,name,food,
$name$ is a nice restaurant in the $area$ of town in the $pricerange$ price range,offer,inform,inform,name,pricerange,area
$name$ is a nice place in the $area$ of town and the prices are $pricerange$,offer,inform,inform,name,pricerange,area
I'm sorry but there is no restaurant serving $food$ food,canthelp,,,food,,
"Sorry, I can't hear you",offer,inform,,name,area,
What $area$ do you have in mind?,request,,,area,,
$name$ is in the $pricerange$ price range,offer,inform,,name,pricerange,
"Ok , a restaurant in $area$ part of town is that right?",expl-conf,,,area,,
$name$ serves $food$ food in the $pricerange$ price range,offer,inform,inform,name,food,pricerange
"$name$ is on $addr$ , $postcode$",offer,inform,inform,name,addr,postcode
The post code of $name$ is $postcode$,offer,inform,,name,postcode,
$name$ is a great restaurant,offer,,,name,,
I am sorry but there is no other $food$ restaurant in the $pricerange$ price range,canthelp,canthelp,,food,pricerange,
Sorry there is no $food$ restaurant in the $pricerange$ price range,canthelp,canthelp,,pricerange,food,
$name$ is a great restaurant serving $food$ food and it is in the $pricerange$ price range,offer,inform,inform,name,food,pricerange
Can I help you with anything else?,reqmore,,,,,
You are looking for a $food$ restaurant right?,expl-conf,,,food,,
$name$ serves $food$ food .,offer,inform,,name,food,
I'm sorry but there is no $food$ restaurant in the $area$ of town,canthelp,canthelp,,area,food,
$name$ is a nice place in the $area$ of town,offer,inform,,name,area,
"Would you like something in the cheap , moderate , or expensive $pricerange$?",request,,,pricerange,,
$name$ is a nice place in the $area$ of town serving tasty $food$ food,offer,inform,inform,name,food,area
The price range at $name$ is $pricerange$ .,offer,inform,,name,pricerange,
I am sorry but there is no $food$ restaurant that matches your request,canthelp,,,food,,
"Sure , $name$ is on St. Michael's Church Trinity Street City Centre",offer,inform,,name,addr,
"Let me confirm , You are looking for a restaurant in the $pricerange$ price range right?",expl-conf,,,pricerange,,
Did you say you are looking for a restaurant in the $area$ of town?,expl-conf,,,area,,
"The phone number of $name$ is $phone$ and its postcode is $postcode$,",offer,inform,inform,name,postcode,phone
The phone number of $name$ is $phone$ and it is on $addr$ .,offer,inform,inform,name,phone,addr
I'm sorry but there is no $food$ restaurant in the $area$ of town,canthelp,canthelp,,food,area,
"Hello , welcome to the Cambridge restaurant system? You can ask for restaurants by area , price range or food type .",welcomemsg,,,,,
"The phone number of $name$ is $phone$ and its postcode is $postcode$,",offer,inform,inform,name,phone,postcode
Sorry would you like $food$ or $food$ food?,select,select,,food,food,
"$name$ is on $addr$ . Its phone number is $phone$ , and it is in the $pricerange$ pricerange .",offer,inform,inform,name,phone,pricerange
Sorry would you like something in the $area$ or in the $area$,select,select,,area,area,
Sorry there is no $food$ restaurant in the $area$ of town,canthelp,canthelp,,area,food,
I am sorry but there is no other $food$ restaurant that matches your request,canthelp,,,food,,
Sorry would you like something in the $pricerange$ price range or $pricerange$,select,select,,pricerange,pricerange,
"Let me confirm , You are looking for a restaurant and $pricerange$ about the price range right?",expl-conf,,,pricerange,,
$name$ is a nice restaurant in the $area$ of town serving $food$ food,offer,inform,inform,name,food,area
You are looking for a restaurant serving $food$ kind of food right?,expl-conf,,,food,,
The phone number of $name$ is dontcare .,offer,inform,,name,phone,
Sorry there is no $pricerange$ restaurant in the $area$ of town serving $food$ food,canthelp,canthelp,canthelp,area,pricerange,food
$name$ is in the $area$ part of town .,offer,inform,,name,area,
I am sorry but there is no other $food$ restaurant in the $area$ of town,canthelp,canthelp,,food,area,
I'm sorry but there is no restaurant serving $pricerange$ $food$ food,canthelp,canthelp,,pricerange,food,
"$name$ is in the $area$ , at $postcode$",offer,inform,inform,name,postcode,area
Sorry would you like the $area$ of town or $area$,select,select,,area,area,
Sorry but there is no other restaurant in the $pricerange$ price range and the $area$ of town,canthelp,canthelp,,area,pricerange,
"$name$ is on $addr$ , $postcode$",offer,inform,inform,name,postcode,addr
I'm sorry but there is no restaurant serving $pricerange$ $food$ food,canthelp,canthelp,,food,pricerange,
Sorry would you like something in the $pricerange$ price range or in the $pricerange$ price range,select,select,,pricerange,pricerange,
$name$ is on $addr$ and serves tasty $food$ food,offer,inform,inform,name,food,addr
$name$ is a great restaurant serving $pricerange$ $food$ food in the $area$ of town .,offer,inform,inform,name,food,pricerange
Sorry but there is no other $food$ restaurant in the $pricerange$ price range and the $area$ of town,canthelp,canthelp,canthelp,food,pricerange,area
There are restaurants . That $area$ would you like?,request,,,area,,
Sorry but there is no other restaurant in the $pricerange$ price range and the $area$ of town,canthelp,canthelp,,pricerange,area,
There are restaurants serving $food$ in the $pricerange$ price range . What $area$ would you like?,request,inform,inform,area,food,pricerange
Sorry there is no the americas restaurant in the $area$ of town,canthelp,,,area,,
"$name$ is on $addr$ , and it is in the $pricerange$ price range",offer,inform,inform,name,pricerange,addr
